condition,model,division,question_id,correctness,completeness,visible_reasoning_result_quality,instruction_following,practical_usefulness,question_total
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G1,5,5,5,5,5,25
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G2,4.5,5,4.5,5,5,24
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G3,5,5,5,2.5,4.5,22
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G4,4.5,5,4.5,5,4.5,23.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G5,5,5,5,5,5,25
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G6,4,4.5,4.5,4.5,4.5,22
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G7,4.5,4.5,5,5,4.5,23.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G8,5,4.5,5,5,5,24.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G9,2.5,3,3,3.5,2,14
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G10,5,5,5,5,5,25
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G11,4.5,4.5,4.5,0,4.5,18
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G12,5,5,5,5,5,25
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G13,4.5,5,5,4.5,5,24
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G14,4.5,5,5,5,5,24.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G15,2.5,5,3,5,3,18.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G16,1.5,3.5,2.5,2,2,11.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G17,4,5,4.5,5,4.5,23
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,general,G18,5,5,4.5,5,5,24.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C1,4,4.5,4.5,4.5,4.5,22
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C2,3,4,3.5,3,3.5,17
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C3,4.5,5,1.5,3.5,3.5,18
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C4,3.5,5,4,4.5,4,21
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C5,4,5,4.5,5,4,22.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C6,2.5,4.5,3,4,3.5,17.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C7,3,4.5,3.5,5,4,20
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C8,4,5,4,5,4.5,22.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C9,1,2.5,1.5,2,1.5,8.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C10,5,5,5,5,5,25
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C11,2.5,5,3,4,2.5,17
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C12,4,5,4,5,4.5,22.5
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C13,3.5,4.5,4,5,4,21
formal-c-extension,ZD74-Ornith-1.5-35B-A3B-Uncensored-Q4_K_M,cyber,C14,3.5,4.5,4,4.5,3.5,20
