condition,model,division,question_id,correctness,completeness,visible_reasoning_result_quality,instruction_following,practical_usefulness,question_total
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G1,5.0,5.0,5.0,5.0,5.0,25.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G10,5.0,5.0,5.0,5.0,5.0,25.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G11,0.0,0.0,0.0,0.0,0.0,0.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G12,3.5,4.0,4.0,3.0,4.0,18.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G13,0.0,0.0,0.0,0.0,0.0,0.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G14,4.0,4.0,4.0,5.0,4.0,21.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G15,2.0,5.0,2.5,5.0,2.5,17.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G16,1.5,4.5,2.5,5.0,2.0,15.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G17,4.0,5.0,4.0,5.0,4.0,22.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G18,0.0,0.0,0.0,0.0,0.0,0.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G2,5.0,4.5,4.5,5.0,5.0,24.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G3,0.0,0.0,0.0,0.0,0.0,0.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G4,5.0,5.0,5.0,5.0,5.0,25.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G5,4.5,5.0,4.5,5.0,5.0,24.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G6,4.0,5.0,4.5,5.0,4.0,22.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G7,3.5,4.0,3.5,5.0,3.5,19.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G8,5.0,5.0,5.0,5.0,5.0,25.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G9,0.0,0.0,0.0,0.0,0.0,0.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C1,4.0,5.0,4.0,5.0,4.0,22.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C10,4.5,5.0,4.0,5.0,4.5,23.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C11,4.5,5.0,4.5,5.0,4.0,23.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C12,5.0,5.0,4.5,5.0,5.0,24.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C13,3.5,4.5,3.5,5.0,3.5,20.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C14,3.0,5.0,3.0,5.0,3.5,19.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C2,4.5,5.0,4.5,5.0,4.5,23.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C3,4.5,5.0,4.5,5.0,4.5,23.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C4,4.5,5.0,4.5,5.0,4.5,23.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C5,3.5,5.0,3.5,5.0,3.5,20.5
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C6,3.0,5.0,3.0,5.0,3.0,19.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C7,0.0,0.0,0.0,0.0,0.0,0.0
formal-d,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C8,0.0,0.0,0.0,0.0,0.0,0.0
