original_tag,division,question_id,has_final,prompt_tokens,completion_tokens,total_tokens,near_context_limit,near_generation_cap,loop_candidate,clean_final,source
A,general,G2,yes,86,1514,1600,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,general,G3,no,109,8083,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,general,G4,no,135,8057,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,general,G5,yes,117,4313,4430,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,general,G6,no,77,8115,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,general,G7,no,138,8054,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,general,G9,no,102,8090,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,general,G11,yes,90,840,930,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,general,G12,yes,80,490,570,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,general,G13,yes,77,906,983,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,general,G14,no,70,8122,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,general,G15,yes,95,1431,1526,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,general,G16,no,81,8111,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,general,G17,yes,122,1984,2106,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,general,G18,no,104,8088,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C1,no,106,8086,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C2,no,151,8041,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C3,no,113,8079,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C4,yes,117,1436,1553,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,cyber,C5,no,112,8080,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C6,yes,273,794,1067,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,cyber,C7,yes,119,1472,1591,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,cyber,C8,no,100,8092,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C9,no,99,8093,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C10,no,111,8081,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C11,yes,74,878,952,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
A,cyber,C12,no,102,8090,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C13,no,76,8116,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,cyber,C14,no,81,8111,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
A,general,G1,yes,85,2666,2751,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
A,general,G8,yes,77,867,944,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
A,general,G10,yes,110,514,624,no,D-NOT-COMPUTABLE,no,yes,formal-d-supplement
B,general,G2,yes,86,1494,1580,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G3,no,109,8083,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
B,general,G4,yes,135,3020,3155,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G5,yes,117,2295,2412,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G6,yes,77,1436,1513,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G7,yes,138,1844,1982,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G9,no,102,8090,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
B,general,G11,no,90,8102,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
B,general,G12,yes,80,656,736,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G13,no,77,8115,8192,yes,D-NOT-COMPUTABLE,yes,no,budget-probe-8192
B,general,G14,yes,70,2006,2076,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G15,yes,95,1035,1130,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G16,yes,81,1329,1410,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
B,general,G17,yes,122,4030,4152,no,D-NOT-COMPUTABLE,no,yes,budget-probe-8192
