condition,model,division,question_id,correctness,completeness,visible_reasoning_result_quality,instruction_following,practical_usefulness,question_total
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G1,5.0,5.0,5.0,5.0,5.0,25.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G2,1.0,4.0,1.0,4.5,1.0,11.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G3,5.0,5.0,5.0,5.0,5.0,25.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G4,5.0,5.0,5.0,5.0,5.0,25.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G5,0.5,1.5,1.0,1.5,0.0,4.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G6,1.5,3.0,2.0,3.0,1.5,11.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G7,1.5,2.0,1.0,0.5,0.5,5.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G8,5.0,5.0,5.0,5.0,5.0,25.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G9,3.0,3.5,3.0,4.5,3.0,17.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G10,5.0,5.0,5.0,5.0,5.0,25.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G11,2.0,2.5,2.0,1.0,2.0,9.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G12,1.5,1.0,0.5,0.0,0.5,3.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G13,4.0,4.5,4.5,5.0,4.0,22.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G14,4.5,5.0,4.5,5.0,4.5,23.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G15,4.0,5.0,4.5,5.0,4.5,23.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G16,4.0,4.5,4.5,5.0,4.5,22.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G17,1.0,4.0,1.5,3.0,1.0,10.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,general,G18,3.0,4.5,2.5,5.0,3.0,18.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C1,3.5,4.0,3.5,4.5,3.5,19.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C2,2.5,3.0,2.5,4.0,2.5,14.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C3,3.5,4.5,4.0,5.0,4.0,21.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C4,4.0,4.5,4.0,5.0,4.5,22.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C5,2.5,4.5,2.5,4.5,2.5,16.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C6,1.5,4.5,2.0,5.0,1.5,14.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C7,2.5,4.5,3.0,5.0,3.5,18.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C8,3.0,4.5,4.0,5.0,3.0,19.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C9,4.0,3.5,1.0,1.0,1.0,10.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C10,3.5,4.5,4.0,4.5,3.5,20.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C11,3.5,5.0,4.0,5.0,3.5,21.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C12,3.0,5.0,3.5,5.0,3.0,19.5
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C13,0.5,2.0,1.0,2.0,0.5,6.0
formal-c-extension,MiMo-V2.6-Distill-Qwen-9B-Abliterated-Q4_K_M,cyber,C14,2.5,3.0,1.5,0.5,2.0,9.5
