condition,model,division,question_id,correctness,completeness,visible_reasoning_result_quality,instruction_following,practical_usefulness,question_total
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G1,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G10,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G11,3.5,4.0,3.5,0.5,4.0,15.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G12,3.0,3.5,2.5,5.0,3.0,17.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G13,4.0,3.5,3.5,3.5,4.0,18.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G14,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G15,2.5,5.0,4.0,5.0,3.5,20.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G16,3.5,4.5,4.0,5.0,3.5,20.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G17,4.0,4.5,4.0,4.0,3.5,20.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G18,2.5,3.5,2.5,3.0,1.5,13.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G2,5.0,5.0,5.0,5.0,5.0,25.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G3,5.0,2.0,0.5,1.0,2.0,10.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G4,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G5,3.0,3.5,3.5,4.0,3.0,17.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G6,4.5,4.5,4.0,4.5,4.0,21.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G7,4.5,4.0,4.0,5.0,4.0,21.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G8,5.0,5.0,4.5,5.0,5.0,24.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,general,G9,2.5,3.5,2.5,3.5,2.5,14.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C1,4.0,4.5,4.0,5.0,4.0,21.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C10,4.5,5.0,4.5,5.0,5.0,24.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C11,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C12,4.5,5.0,4.5,5.0,4.5,23.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C13,4.0,5.0,4.0,5.0,2.0,20.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C14,4.0,5.0,4.0,4.5,3.0,20.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C2,4.0,4.0,4.0,4.5,3.5,20.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C3,4.5,5.0,4.5,5.0,5.0,24.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C4,4.5,4.5,4.5,5.0,4.5,23.0
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C5,3.5,5.0,3.5,4.5,3.0,19.5
formal-c,Endy-Qwen3.6-CyberSec-35B-A3B-Q4_K_M,cyber,C6,3.5,4.5,3.5,5.0,2.5,19.0
